==11337== NVPROF is profiling process 11337, command: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==11337== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11337== Profiling application: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Profiling result:
==11337== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_global_reductions","Warp level instructions for global reductions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_surface_atomics","Warp level instructions for surface atom and atom cas",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_surface_reductions","Warp level instructions for surface reductions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_shared_atomics","Warp level shared instructions for atom and atom CAS",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"inst_executed_tex_ops","Warp level instructions for texture",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_global_load_bytes","Bytes read from L2 for misses in Unified Cache for global loads",67931616,67958656,67945130
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_local_load_bytes","Bytes read from L2 for misses in Unified Cache for local loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_surface_load_bytes","Bytes read from L2 for misses in Unified Cache for surface loads",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_local_global_store_bytes","Bytes written to L2 from Unified Cache for local and global stores.",909312,909312,909312
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_global_reduction_bytes","Bytes written to L2 from Unified cache for global reductions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_global_atomic_store_bytes","Bytes written to L2 from Unified cache for global atomics",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_surface_store_bytes","Bytes written to L2 from Unified Cache for surface stores.",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_surface_reduction_bytes","Bytes written to L2 from Unified Cache for surface reductions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_surface_atomic_store_bytes","Bytes transferred between Unified Cache and L2 for surface atomics",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"global_load_requests","Total number of global load requests from Multiprocessor",3610388,3610388,3610388
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"local_load_requests","Total number of local load requests from Multiprocessor",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"surface_load_requests","Total number of surface load requests from Multiprocessor",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"global_store_requests","Total number of global store requests from Multiprocessor",28416,28416,28416
